distancia	duracion	Selected	Cluster	Silhouette
2339.0	682.0	No	C1	
3332.0	751.0	No	C1	
8389.0	1144.0	No	C2	
1406.0	441.0	No	C1	
3039.0	780.0	No	C1	
4251.0	1253.0	No	C1	
8404.0	1784.0	No	C2	
4315.0	1161.0	No	C1	
3486.0	911.0	No	C1	
6288.0	1117.0	No	C2	
1639.0	502.0	No	C1	
6380.0	656.0	No	C2	
2535.0	763.0	No	C1	
1342.0	357.0	No	C1	
4157.0	970.0	No	C1	
1380.0	470.0	No	C1	
6825.0	1472.0	No	C2	
3418.0	650.0	No	C1	
880.0	317.0	No	C1	
1822.0	446.0	No	C1	
1049.0	447.0	No	C1	
1469.0	265.0	No	C1	
2377.0	590.0	No	C1	
6953.0	1594.0	No	C2	
1905.0	494.0	No	C1	
7329.0	1547.0	No	C2	
1390.0	364.0	No	C1	
7674.0	1517.0	No	C2	
891.0	416.0	No	C1	
9159.0	2047.0	No	C2	
751.0	157.0	No	C1	
1091.0	529.0	No	C1	
2759.0	915.0	No	C1	
4681.0	935.0	No	C1	
3337.0	904.0	No	C1	
931.0	278.0	No	C1	
2590.0	637.0	No	C1	
630.0	261.0	No	C1	
7001.0	1596.0	No	C2	
8371.0	1081.0	No	C2	
5416.0	1259.0	No	C2	
4340.0	1079.0	No	C1	
2312.0	658.0	No	C1	
1567.0	482.0	No	C1	
623.0	234.0	No	C1	
4878.0	1053.0	No	C2	
22.0	482.0	No	C1	
10471.0	1818.0	No	C2	
2758.0	694.0	No	C1	
3594.0	1013.0	No	C1	
5215.0	1034.0	No	C2	
3374.0	1024.0	No	C1	
2396.0	734.0	No	C1	
3209.0	895.0	No	C1	
869.0	321.0	No	C1	
3590.0	1165.0	No	C1	
313.0	758.0	No	C1	
2971.0	667.0	No	C1	
765.0	207.0	No	C1	
1540.0	624.0	No	C1	
2781.0	1045.0	No	C1	
2413.0	872.0	No	C1	
1678.0	503.0	No	C1	
1956.0	721.0	No	C1	
3643.0	732.0	No	C1	
3386.0	946.0	No	C1	
1054.0	371.0	No	C1	
2568.0	800.0	No	C1	
2219.0	553.0	No	C1	
4461.0	1009.0	No	C1	
7693.0	1645.0	No	C2	
2977.0	550.0	No	C1	
3.0	373.0	No	C1	
5728.0	1660.0	No	C2	
485.0	1472.0	No	C1	
4673.0	992.0	No	C1	
6531.0	1460.0	No	C2	
3774.0	1131.0	No	C1	
3741.0	1216.0	No	C1	
3308.0	1242.0	No	C1	
3776.0	1121.0	No	C1	
2876.0	829.0	No	C1	
2866.0	736.0	No	C1	
1932.0	543.0	No	C1	
1922.0	400.0	No	C1	
5854.0	1053.0	No	C2	
1484.0	493.0	No	C1	
1715.0	471.0	No	C1	
3376.0	913.0	No	C1	
760.0	285.0	No	C1	
905.0	498.0	No	C1	
4917.0	1120.0	No	C2	
3060.0	751.0	No	C1	
1104.0	362.0	No	C1	
2054.0	741.0	No	C1	
1351.0	441.0	No	C1	
10908.0	1889.0	No	C2	
4276.0	825.0	No	C1	
10549.0	2196.0	No	C2	
6019.0	956.0	No	C2	
